Customer ID,Age,Gender,Date,Month_of_Purchase,Festival/Offers,Year,Type_of_ product,ModelName,Price,Resolution,Screen_size,RAM,Processor,OS,HDD,SSD,Warranty Period,Warranty,Location
5496,27,1,08-01-2018,1,1,2018,Laptop,Alienware,176688,2k,17,32,i7,Windows,1024,512,3,1,New Delhi
5497,22,1,20-07-2018,7,1,2018,Laptop,Alienware,248054,2k,17,32,i9,Windows,1024,1024,2,1,Bangalore
5498,19,1,08-11-2018,11,1,2018,Laptop,Alienware,166980,FullHD,15,8,i7,Windows,1024,256,2,1,Lucknow
5499,25,1,21-02-2018,2,0,2018,Laptop,Alienware,227480,2k,17,32,i9,Windows,1024,1024,3,1,Mumbai
5500,19,0,06-01-2018,1,1,2018,Laptop,Alienware,125067,2k,17,8,i5,Windows,1024,256,3,1,New Delhi
5501,20,0,23-08-2018,8,1,2018,Laptop,Alienware,129744,FullHD,15,8,i5,Windows,1024,256,2,1,Bangalore
5502,19,1,26-03-2018,3,0,2018,Laptop,Alienware,233953,2k,17,32,i9,Windows,1024,1024,2,1,Bangalore
5503,30,1,24-10-2018,10,0,2018,Laptop,Alienware,158311,FullHD,15,8,i7,Windows,1024,256,3,1,Bhopal
5504,23,1,06-10-2018,10,0,2018,Laptop,Alienware,121733,2k,17,16,i5,Windows,1024,512,3,1,Mumbai
5505,22,0,01-03-2018,3,0,2018,Laptop,Alienware,121229,2k,17,8,i5,Windows,1024,256,2,1,Surat
5506,19,1,03-01-2018,1,1,2018,Laptop,Alienware,123441,2k,17,8,i5,Windows,1024,512,2,1,Kolkata
5507,20,1,07-06-2018,6,0,2018,Laptop,Alienware,199213,2k,17,32,i7,Windows,1024,512,2,1,Coimbatore
5508,20,1,16-04-2018,4,0,2018,Laptop,Alienware,159536,2k,17,32,i7,Windows,1024,256,3,1,New Delhi
5509,22,1,09-12-2018,12,0,2018,Laptop,Alienware,164622,2k,17,32,i7,Windows,1024,256,2,1,Hyderabad
5510,43,1,26-04-2018,4,0,2018,Laptop,Alienware,145626,2k,17,16,i5,Windows,1024,512,3,1,Bhopal
5511,19,1,16-10-2018,10,0,2018,Laptop,Alienware,235504,2k,17,32,i9,Windows,1024,1024,3,1,Kolkata
5512,19,0,26-10-2018,10,0,2018,Laptop,Alienware,143223,FullHD,15,8,i5,Windows,1024,512,3,1,Kolkata
5513,25,1,02-11-2018,11,1,2018,Laptop,Alienware,164071,FullHD,15,16,i7,Windows,1024,1024,2,1,Patna
5514,23,1,26-05-2018,5,0,2018,Laptop,Alienware,123338,FullHD,15,16,i5,Windows,1024,256,3,1,Kolkata
5515,15,1,16-03-2018,3,0,2018,Laptop,Alienware,140219,FullHD,15,16,i5,Windows,1024,256,3,1,New Delhi
5516,25,1,05-02-2018,2,0,2018,Laptop,Alienware,155396,2k,17,32,i7,Windows,1024,256,2,1,Mumbai
5517,23,1,25-10-2018,10,0,2018,Laptop,Alienware,154541,2k,17,32,i7,Windows,1024,256,2,1,Surat
5518,28,1,27-09-2018,9,0,2018,Laptop,Alienware,142336,2k,17,8,i5,Windows,1024,512,3,1,Mumbai
5519,25,1,01-11-2018,11,1,2018,Laptop,Alienware,143087,FullHD,15,16,i5,Windows,1024,1024,2,1,Hyderabad
5520,23,1,05-09-2018,9,0,2018,Laptop,Alienware,133129,2k,17,16,i5,Windows,1024,512,2,1,New Delhi
5521,29,1,28-09-2018,9,0,2018,Laptop,Alienware,146800,2k,17,8,i5,Windows,1024,256,3,1,Hyderabad
5522,23,1,23-08-2018,8,1,2018,Laptop,Alienware,126726,2k,17,16,i5,Windows,1024,512,3,1,Bangalore
5523,23,1,18-07-2018,7,1,2018,Laptop,Alienware,122406,2k,17,8,i5,Windows,1024,256,2,1,New Delhi
5524,24,1,12-01-2018,1,1,2018,Laptop,Alienware,232463,2k,17,32,i9,Windows,1024,1024,3,1,Hyderabad
